bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
P70_task-rl_run-1_bold	0.001453009	0.00935461	0	22.46083144	1.292068052	0.993188262	0.381246226	14247.7627	0.077242264	9	2.132701422	2.511564923	2.263686066	2.843922038	2.427086667	0.0192018	-0.021545798	0.027722633	422	82	82	56	5.186569034	1	3.024390221	3.024390221	3	39.59941377	3.885683298	13.35975933	3.819905281	283202	0.786729872	57.60414867	27.03610039	4.551881241	59.92594147	451.6172791	461.1741943	42872	289.1086624	568.5810822	88.91596985	63.25419998
P70_task-rl_run-2_bold	0.000539431	0.010696713	0	22.21939891	1.251530033	0.96105008	0.381131009	14240.19434	0.078681124	6	1.421800948	2.509430345	2.262380017	2.845687683	2.420223333	0.0162482	-0.021504592	0.027199101	422	82	82	56	5.208117345	1	3.024390221	3.024390221	3	38.40049948	3.882169485	13.40199089	3.815165997	283440	0.798578203	57.97879429	27.0808773	4.647811396	59.08274841	451.1280518	460.8412476	42737	288.6777466	566.5360474	88.48415375	63.13085556
P70_task-rl_run-3_bold	0.003222299	0.009304041	0	21.99256908	1.327840839	1.037783091	0.381615677	13980.75684	0.074979273	10	2.369668246	2.509523302	2.268986308	2.841680264	2.417903333	0.0358621	-0.021885296	0.027949471	422	82	82	56	5.252075924	1	3.024390221	3.024390221	3	39.73525406	3.945408106	13.55076313	3.845971823	283459	0.793838918	58.92203941	27.51382065	4.639283001	59.02655411	451.1870117	460.3696899	42687	292.7791534	566.1582947	87.65377808	64.67081451
P70_task-rl_run-4_bold	0.000850877	0.009551492	0	21.30190612	1.260344096	0.991164822	0.381909732	14018.20215	0.071639432	11	2.606635071	2.512369422	2.277731872	2.837646393	2.42173	0.0240323	-0.022093656	0.02910451	422	82	82	56	5.224464708	1	3.024390221	3.024390221	3	38.99163688	3.945408583	13.61679173	3.838862658	283487	0.791469216	59.39099884	27.60865402	4.627022013	58.77707291	450.1566467	459.860199	42707	287.1917236	565.307605	88.01950836	66.15036011
P70_task-rest_bold	0.001727669	0.023033046	0	20.35288779	1.118414263	0.963884447	0.382423221	13613.99609	0.095824155	34	5.743243243	2.578666098	2.321172034	2.919662926	2.495163333	0.0256396	-0.02204524	0.028904406	592	82	82	56	5.133633319	1	3.024390221	3.024390221	3	40.86664389	4.107209206	13.7798233	3.92905426	283498	0.756756783	59.47829609	27.71321106	4.573607622	58.69802856	450.5916443	461.4307556	42775	280.9983154	566.2478455	89.88280487	42.05307388
P21_task-rl_run-1_bold	0.000831758	0.009505561	1	20.53123983	1.096817444	0.977999672	0.401086306	19794.71484	0.129292523	44	10.45130641	2.448458812	2.242111469	2.723021634	2.380243333	0.0146723	-0.014080178	0.015484652	421	82	82	56	5.009075407	1	3.024390221	3.024390221	3	32.82125369	2.053104639	10.1225872	2.251781464	274807	0.605700731	50.0280304	23.76767921	3.585440588	47.71972275	317.5990906	324.4881287	49356	197.9988251	404.8978882	64.77938843	56.13014221
P21_task-rl_run-2_bold	0.00186943	0.010987743	1	20.3332088	1.087663374	0.98579607	0.40255215	18531.31055	0.134477659	54	12.82660333	2.443931751	2.241314614	2.718223973	2.372256667	0.0367963	-0.014217885	0.015061021	421	82	82	56	4.985190292	1	3.024390221	3.024390221	3	32.28577736	2.162275076	10.44316864	2.337292194	274900	0.634204328	51.80772076	24.23406792	3.601945427	47.96271133	318.6279907	325.4192505	49280	199.0516724	406.6280548	65.27653503	50.65056229
P21_task-rl_run-3_bold	0.003231682	0.011140702	0	21.91819048	1.143113814	1.023276441	0.402605513	18312.25586	0.159562129	96	22.74881517	2.458025138	2.254054372	2.730064376	2.389956667	0.0365679	-0.01427969	0.014345364	422	82	82	56	4.918213219	1	3.024390221	3.024390221	3	32.78536885	2.143097878	10.49081039	2.35308075	274854	0.656398118	52.48519173	24.3340416	3.466593749	48.72561646	318.3985901	325.5628052	49386	195.5835419	406.9899445	66.19467163	49.7819252
P21_task-rl_run-4_bold	0.004593815	0.00927087	0	20.97924587	1.17191804	1.057952634	0.403150021	17996.30469	0.133483122	56	13.27014218	2.450395631	2.249832033	2.72057486	2.38078	0.0316752	-0.0141376	0.014814178	422	82	82	56	4.891563151	1	3.024390221	3.024390221	3	32.53067718	2.164177656	10.57264614	2.372037888	274846	0.656990543	52.8009491	24.39836311	3.564480309	48.65535355	318.4688721	325.7772522	49416	194.673584	407.4472885	66.59915161	55.65044403
P21_task-rest_bold	0.002730997	0.01098209	0	21.00479577	1.124298855	1.003915234	0.40307822	18740.10742	0.136182298	81	13.68243243	2.455512074	2.255975421	2.726404134	2.384156667	0.0224114	-0.01403905	0.013953362	592	82	82	56	4.968175516	1	3.024390221	3.024390221	3	30.78302875	2.128736496	10.64369965	2.341216326	274804	0.653716207	53.54223251	24.92761612	3.498341138	48.50260162	320.4347839	327.408783	49343	198.8652115	408.9887054	65.90054321	51.60582733
P41_task-rl_run-1_bold	0.000767464	0.014024189	0	20.80129213	1.104702675	0.945496635	0.402199742	17460.92969	0.113855627	12	2.843601896	2.523289696	2.313434937	2.764917683	2.491516469	0.0230654	-0.017867269	0.030015225	422	82	82	56	5.080458378	1	3.024390221	3.024390221	3.000000238	32.6059367	2.919532061	12.97895145	2.92180109	277426	0.672985792	59.73460007	28.00686836	4.355853827	52.71671677	385.3048401	393.3412476	47439	239.7673035	485.9957458	77.42157745	53.13909912
P41_task-rl_run-2_bold	0.000713081	0.009832002	0	21.65310183	1.190788943	0.994525767	0.401262076	18232.38672	0.104945046	2	0.473933649	2.499655091	2.305463082	2.729899053	2.463603138	0.0186562	-0.017120909	0.028156484	422	82	82	56	5.091003841	1	3.024390221	3.024390221	3.000000238	33.76064601	2.810620546	12.91227913	2.850711107	277593	0.675355494	59.55924225	28.13549423	4.304188062	53.42987442	385.1812439	393.2772522	47291	240.2405319	485.9549866	77.24863434	63.24626541
P41_task-rl_run-3_bold	0.001140381	0.009661084	2	19.74524584	1.140527908	1.002807775	0.40344857	17349.38672	0.114134523	14	3.333333333	2.511692483	2.315610582	2.746953731	2.472513137	0.0176657	-0.017953815	0.031394482	420	82	82	56	5.072558508	1	3.024390221	3.024390221	3.000000238	30.97438862	2.880484581	13.12599087	2.909523964	277252	0.688095272	61.13809586	28.15935707	4.144832825	53.01716995	383.0492859	391.3797607	47546	235.7994156	483.8012085	77.1554718	64.26728821
P41_task-rl_run-4_bold	0.001715545	0.008826267	0	20.95077647	1.189892662	1.024373357	0.404441582	16815.20703	0.117089923	15	3.55450237	2.516038604	2.316500018	2.763485989	2.468129804	0.0247594	-0.017947359	0.032044742	422	82	82	56	5.036440445	1	3.024390221	3.024390221	3.000000238	31.27173082	2.923045397	13.29291344	2.943128109	277210	0.687203825	62.20272655	28.32952499	4.132762506	53.2998848	381.7195435	390.0332031	47615	235.9955017	482.3557098	77.44142151	67.09726715
P41_task-rest_bold	0.000474713	0.016064947	0	24.35540064	1.190668475	0.93019324	0.405430288	16410.25977	0.105018241	4	0.675675676	2.558968979	2.348694937	2.814382199	2.5138298	0.00462039	-0.018044312	0.033395827	592	82	82	56	5.033054785	1	3.024390221	3.024390221	3.000000238	31.01088001	2.997761726	13.17794323	2.966216326	276853	0.651351392	62.37635193	27.56361771	4.052598876	53.04814148	379.7608337	388.5050659	47917	233.1341309	480.0793945	77.18990326	48.34144592
