ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	105	5947	-999999	0	40	7946	-999999	0																																																	1	InitialTR	4	1	ReadyList	1	1	10	20567	-11	22556	0	1
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	105	5947	-999999	0	40	7946	-999999	0																																																	1	InitialTR	3	2	ReadyList	1	2	10	22567	-11	24556	0	2
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	105	5947	-999999	0	40	7946	-999999	0																																																	1	InitialTR	2	3	ReadyList	1	3	9	24566	-10	26556	0	3
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	105	5947	-999999	0	40	7946	-999999	0																																																	1	InitialTR	1	4	ReadyList	1	4	8	26565	-9	28556	0	4
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	23	Cue2BackPROC	""	2	2	2	SessionSelectionList									7	28564	-8	0																																													2												
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	3	SessionSelectionList														nonlure	3	Tools	2-Back	2	80	1	0	0	0	1	53	33189	3	14	79	31136	-1	32073	1	937	3	3	2053	67	33203	-68	0																3												
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	24	TrialsPROC	TO_013_TOOL13_BA.png	2	2	4	SessionSelectionList														nonlure	3	Tools	2-Back	3	80	2	0	0	0	2	40	35735	2	13	59	33695	-1	34612	1	917	3	3	2040	53	35748	-54	0																4												
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	5	SessionSelectionList														nonlure	3	Tools	2-Back	4	80	3	0	0	0	3	39	38294	1	13	60	36255	-1	37294	1	1039	3	3	2039	52	38307	-53	0																5												
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	6	SessionSelectionList														lure	3	Tools	2-Back	5	80	4	0	0	0	4	39	40866	1	14	72	38827	-1	40221	1	1394	3	3	2039	53	40880	-54	0																6												
WM080112	100408_fnca	2	1	1	-1827561185	1	75.033	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	971.444444444444	0.8	774.875	1	971.2	1	706.9	1	1037.5	1	756.5	0.9	1067.11111111111	1	824.3	13	313835	2	313823	27	40	313862	-999999	313838	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	7	SessionSelectionList														target	2	Tools	2-Back	6	80	5	0	0	0	1	39	43425	1	14	59	41386	-1	42583	1	1197	2	2	2039	53	43439	-54	0																7												
