ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	102	29067	-999999	0	34	41156	-999999	0																																																	1	InitialTR	4	1	ReadyList	1	1	18	54190	-19	56171	0	1
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	102	29067	-999999	0	34	41156	-999999	0																																																	1	InitialTR	3	2	ReadyList	1	2	17	56189	-18	58171	0	2
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	102	29067	-999999	0	34	41156	-999999	0																																																	1	InitialTR	2	3	ReadyList	1	3	3	58175	-4	60171	0	3
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	102	29067	-999999	0	34	41156	-999999	0																																																	1	InitialTR	1	4	ReadyList	1	4	16	60188	-17	62171	0	4
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	23	Cue2BackPROC	""	2	2	2	SessionSelectionList									15	62187	-16	0																																													2												
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	3	SessionSelectionList														nonlure	3	Tools	2-Back	2	80	1	0	0	0	1	52	66798	3	14	74	64746	-1	66040	1	1294	3	3	2052	66	66812	-67	0																3												
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	24	TrialsPROC	TO_013_TOOL13_BA.png	2	2	4	SessionSelectionList														nonlure	3	Tools	2-Back	3	80	2	0	0	0	2	39	69344	2	14	59	67305	-1	68190	1	885	3	3	2039	53	69358	-54	0																4												
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	5	SessionSelectionList														nonlure	3	Tools	2-Back	4	80	3	0	0	0	3	39	71903	1	14	59	69864	-1	70622	1	758	3	3	2039	53	71917	-54	0																5												
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	6	SessionSelectionList														lure	3	Tools	2-Back	5	80	4	0	0	0	4	39	74475	1	14	72	72436	-1	73461	1	1025	3	3	2039	53	74489	-54	0																6												
WM080112	751348_fnca	2	1	1	-1089881165	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.7	1005.42857142857	1	964.1	1	1026.6	1	687.9	1	1058.4	1	824.3	1	874.5	0.9	1007.55555555556	13	347430	2	347418	27	40	347457	-999999	347433	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	7	SessionSelectionList														target	2	Tools	2-Back	6	80	5	0	0	0	1	39	77034	1	14	59	74995	-1	75754	1	759	2	2	2039	53	77048	-54	0																7												
