ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	103	11364	-999999	0	29	25398	-999999	0																																																	1	InitialTR	4	1	ReadyList	1	1	11	40298	-12	42286	0	1
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	103	11364	-999999	0	29	25398	-999999	0																																																	1	InitialTR	3	2	ReadyList	1	2	10	42297	-11	44286	0	2
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	103	11364	-999999	0	29	25398	-999999	0																																																	1	InitialTR	2	3	ReadyList	1	3	10	44297	-11	46286	0	3
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	103	11364	-999999	0	29	25398	-999999	0																																																	1	InitialTR	1	4	ReadyList	1	4	9	46296	-10	48286	0	4
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	23	Cue2BackPROC	""	2	2	2	SessionSelectionList									8	48295	-9	0																																													2												
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	3	SessionSelectionList														nonlure	3	Tools	2-Back	2	80	1	0	0	0	1	53	52920	3	14	80	50867	-1	51660	1	793	3	3	2053	67	52934	-68	0																3												
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	24	TrialsPROC	TO_013_TOOL13_BA.png	2	2	4	SessionSelectionList														nonlure	3	Tools	2-Back	3	80	2	0	0	0	2	39	55465	3	14	59	53426	-1	54386	1	960	3	3	2039	53	55479	-54	0																4												
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	5	SessionSelectionList														nonlure	3	Tools	2-Back	4	80	3	0	0	0	3	38	58024	2	14	60	55986	-1	56904	1	918	3	3	2038	52	58038	-53	0																5												
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	6	SessionSelectionList														lure	3	Tools	2-Back	5	80	4	0	0	0	4	39	60597	1	13	72	58558	-1	60112	1	1554	3	3	2039	52	60610	-53	0																6												
WM080112	654754_fnca	2	1	1	-614350294	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.9	1087.11111111111	1	867.8	0.9	1346.33333333333	1	859.6	1	1097.6	1	909.1	1	993.5	1	768	13	333753	2	333741	14	27	333767	-999999	333756	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	7	SessionSelectionList														target	2	Tools	2-Back	6	80	5	0	0	0	1	39	63156	1	13	59	61117	-1	62184	1	1067	2	2	2039	52	63169	-53	0																7												
