ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	1	TRSyncPROC	""	1	2	1	SessionSelectionList	93	56677	-999999	0	41	348173	-999999	0																																																	1	InitialTR	4	1	ReadyList	1	1	9	361128	-10	363118	0	1
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	1	TRSyncPROC	""	1	2	1	SessionSelectionList	93	56677	-999999	0	41	348173	-999999	0																																																	1	InitialTR	3	2	ReadyList	1	2	21	363140	-22	365118	0	2
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	1	TRSyncPROC	""	1	2	1	SessionSelectionList	93	56677	-999999	0	41	348173	-999999	0																																																	1	InitialTR	2	3	ReadyList	1	3	7	365126	-8	367118	0	3
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	1	TRSyncPROC	""	1	2	1	SessionSelectionList	93	56677	-999999	0	41	348173	-999999	0																																																	1	InitialTR	1	4	ReadyList	1	4	6	367125	-7	369118	0	4
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	2	Cue2BackPROC	""	1	2	2	SessionSelectionList									18	369137	-19	0																																													2												
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	3	TrialsPROC	BP_002_BP10_BA.png	1	2	3	SessionSelectionList													1	nonlure	3	Body	2-Back	2	80	1	0	0	0	1	53	373749	3	14	77	371696	-1	372481	1	785	3	3	2053	67	373763	-68	0																3												
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	3	TrialsPROC	BP_001_BP1_BA.png	1	2	4	SessionSelectionList													2	nonlure	3	Body	2-Back	3	80	2	0	0	0	2	39	376308	2	14	73	374269	-1	375565	1	1296	3	3	2039	53	376322	-54	0																4												
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	3	TrialsPROC	BP_006_BP2_BA.png	1	2	5	SessionSelectionList													3	nonlure	3	Body	2-Back	4	80	3	0	0	0	1	39	378867	1	14	59	376828	-1	378081	0	1253	2	3	2039	53	378881	-54	0																5												
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	3	TrialsPROC	BP_001_BP1_BA.png	1	2	6	SessionSelectionList													4	target	2	Body	2-Back	5	80	4	0	0	0	2	39	381439	1	14	72	379400	-1	380529	1	1129	2	2	2039	53	381453	-54	0																6												
WM080112	149539_fnca	1	1	1	1784855138	1	75.030	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	0.8	1053.625	1	1000.9	1	930.3	1	755.1	1	983.5	1	651.8	1	1034.1	1	645.3	13	654396	2	654384	27	40	654423	-999999	654399	0	3	TrialsPROC	BP_005_BP19_BA.png	1	2	7	SessionSelectionList													5	nonlure	3	Body	2-Back	6	80	5	0	0	0	1	39	384011	2	14	72	381972	-1	382918	1	946	3	3	2039	53	384025	-54	0																7												
