ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	114	9905	-999999	0	36	10798	-999999	0																																																	1	InitialTR	4	1	ReadyList	1	1	18	25339	-19	27320	0	1
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	114	9905	-999999	0	36	10798	-999999	0																																																	1	InitialTR	3	2	ReadyList	1	2	17	27338	-18	29320	0	2
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	114	9905	-999999	0	36	10798	-999999	0																																																	1	InitialTR	2	3	ReadyList	1	3	3	29324	-4	31320	0	3
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	114	9905	-999999	0	36	10798	-999999	0																																																	1	InitialTR	1	4	ReadyList	1	4	15	31336	-16	33320	0	4
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	23	Cue2BackPROC	""	2	2	2	SessionSelectionList									15	33336	-16	0																																													2												
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	3	SessionSelectionList														nonlure	3	Tools	2-Back	2	80	1	0	0	0	1	53	37947	3	14	73	35894	-1	36580	1	686	3	3	2053	67	37961	-68	0																3												
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	24	TrialsPROC	TO_013_TOOL13_BA.png	2	2	4	SessionSelectionList														nonlure	3	Tools	2-Back	3	80	2	0	0	0	2	40	40493	2	13	59	38453	-1	39042	1	589	3	3	2040	53	40506	-54	0																4												
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	5	SessionSelectionList														nonlure	3	Tools	2-Back	4	80	3	0	0	0	3	40	43052	1	13	59	41012	-1	41586	1	574	3	3	2040	53	43065	-54	0																5												
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	6	SessionSelectionList														lure	3	Tools	2-Back	5	80	4	0	0	0	4	39	45624	1	13	73	43585	-1	44570	1	985	3	3	2039	52	45637	-53	0																6												
WM080112	212318_fncb	2	1	1	-1313085922	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	717.3	1	647.2	0.9	660.888888888889	1	554.6	1	588.2	1	698	1	671.4	1	622.9	13	318618	2	318606	27	40	318645	-999999	318621	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	7	SessionSelectionList														target	2	Tools	2-Back	6	80	5	0	0	0	1	39	48183	1	13	59	46144	-1	46743	1	599	2	2	2039	52	48196	-53	0																7												
