ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	Target	Nontarget	FontStyle	RunTrialNumber[Session]	TrialsPerRun[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	ConsecNonResp[Session]	StimuliDir	ACC_2_Back_Body	Avg_RT_For_Correct_Trials_2_Back_Body	ACC_0_Back_Body	Avg_RT_For_Correct_Trials_0_Back_Body	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Place	Avg_RT_For_Correct_Trials_2_Back_Place	ACC_0_Back_Place	Avg_RT_For_Correct_Trials_0_Back_Place	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	SessionSelectionList	Procedure[Block]	Stimulus[Block]	RunNumberFilterValue	SessionSelectionList.Cycle	SessionSelectionList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Cue2Back.OnsetToOnsetTime	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	RunTrialNumber[Block]	TrialsPerRun[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ConsecNonResp[Block]	ControlAcc	ConsecSameResp	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Stim.OnsetToOnsetTime	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Fix.OnsetToOnsetTime	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	CueTarget.OnsetToOnsetTime	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Fix15sec.OnsetToOnsetTime	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	Trial
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	106	5012	-999999	0	33	13875	-999999	0																																																	1	InitialTR	4	1	ReadyList	1	1	11	27496	-12	29484	0	1
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	106	5012	-999999	0	33	13875	-999999	0																																																	1	InitialTR	3	2	ReadyList	1	2	10	29495	-11	31484	0	2
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	106	5012	-999999	0	33	13875	-999999	0																																																	1	InitialTR	2	3	ReadyList	1	3	9	31494	-10	33484	0	3
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	22	TRSyncPROC	""	2	2	1	SessionSelectionList	106	5012	-999999	0	33	13875	-999999	0																																																	1	InitialTR	1	4	ReadyList	1	4	9	33494	-10	35484	0	4
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	23	Cue2BackPROC	""	2	2	2	SessionSelectionList									8	35493	-9	0																																													2												
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	3	SessionSelectionList														nonlure	3	Tools	2-Back	2	80	1	0	0	0	1	53	40118	3	13	80	38065	-1	39876	1	1811	3	3	2053	66	40131	-67	0																3												
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	24	TrialsPROC	TO_013_TOOL13_BA.png	2	2	4	SessionSelectionList														nonlure	3	Tools	2-Back	3	80	2	0	0	0	2	39	42690	1	13	86	40651	-1	41164	1	513	3	3	2039	52	42703	-53	0																4												
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	5	SessionSelectionList														nonlure	3	Tools	2-Back	4	80	3	0	0	0	3	39	45275	3	14	85	43236	-1	43983	1	747	3	3	2039	53	45289	-54	0																5												
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	24	TrialsPROC	TO_014_TOOL14_BA.png	2	2	6	SessionSelectionList														lure	3	Tools	2-Back	5	80	4	0	0	0	1	39	47848	1	13	73	45809	-1	47430	0	1621	2	3	2039	52	47861	-53	0																6												
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	24	TrialsPROC	TO_016_TOOL16_BA.png	2	2	7	SessionSelectionList														target	2	Tools	2-Back	6	80	5	0	0	0	2	39	50420	1	13	72	48381	-1	49473	1	1092	2	2	2039	52	50433	-53	0																7												
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	24	TrialsPROC	TO_018_TOOL18_BA.png	2	2	8	SessionSelectionList														nonlure	3	Tools	2-Back	7	80	6	0	0	0	1	39	53019	1	13	99	50980	-1	51675	1	695	3	3	2039	52	53032	-53	0																8												
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	24	TrialsPROC	TO_017_TOOL17_BA.png	2	2	9	SessionSelectionList														nonlure	3	Tools	2-Back	8	80	7	0	0	0	2	40	55605	2	13	85	53565	-1	54160	1	595	3	3	2040	53	55618	-54	0																9												
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	24	TrialsPROC	TO_018_TOOL18_BA.png	2	2	10	SessionSelectionList														target	2	Tools	2-Back	9	80	8	0	0	0	1	39	58163	2	14	59	56124	-1	56649	1	525	2	2	2039	53	58177	-54	0																10												
WM080112	128127_fnca	2	1	1	847054096	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.439	7	234	2	3	Verdana	1	80	0	0	0	WM Stimuli\	1	1002.3	1	655.2	1	967.2	1	583.9	0.9	731.222222222222	0.7	819.714285714286	0.9	827.444444444444	1	543.1	13	321523	2	321511	26	39	321549	-999999	321526	0	24	TrialsPROC	TO_015_TOOL15_BA.png	2	2	11	SessionSelectionList														nonlure	3	Tools	2-Back	10	80	9	0	0	0	1	39	60749	3	14	86	58710	-1	59353	1	643	3	3	2039	53	60763	-54	0																11												
