P38
tDCS_AI_wEffector
03/05/2013	10:59:18

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Movement_Onset
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	Finger	Congruence	Repeated	Correct
Main Group	P38	AI_Practice	AI_Practice, 3	AI_First_Stage_practice (3, i2baseinc.bmp)				(based on code value)	NR	0		1	2	1	
Main Group	P38	AI_Practice	AI_Practice, 3	AI_Second_Stage_practice (3, i3baseinc.bmp)				(based on code value)	NR	0		1	2	1	
Main Group	P38	AI_Practice	AI_Practice, 3	AI_Final_Stage_practice (3, i4baseinc.bmp)				(based on code value)	NR	0		1	2	1	
Main Group	P38	AI_Practice	AI_Practice, 3	AI_Blue_practice (3, i5baseinc.bmp)	index	v	Released	(based on code value)	C	767		1	2	1	
Main Group	P38	AI_Practice	AI_Practice, 3	AI_Blue_practice (3, i5baseinc.bmp)		v	Pressed	(based on code value)	E	952		1	2	1	
Main Group	P38	AI_Practice	AI_Practice, 8	AI_First_Stage_practice (8, m2inc.bmp)				(based on code value)	NR	0		2	4	1	
Main Group	P38	AI_Practice	AI_Practice, 8	AI_Second_Stage_practice (8, m3inc.bmp)				(based on code value)	NR	0		2	4	1	
Main Group	P38	AI_Practice	AI_Practice, 8	AI_Final_Stage_practice (8, m4inc.bmp)	index	v	Released	(based on code value)	E	380		2	4	1	
Main Group	P38	AI_Practice	AI_Practice, 8	AI_Final_Stage_practice (8, m4inc.bmp)	middle	b	Released	(based on code value)	SC	436		2	4	1	
Main Group	P38	AI_Practice	AI_Practice, 8	AI_Final_Stage_practice (8, m4inc.bmp)		v	Pressed	(based on code value)	E	484		2	4	1	
Main Group	P38	AI_Practice	AI_Practice, 8	AI_Final_Stage_practice (8, m4inc.bmp)	spacebar	 	Pressed	(based on code value)	E	484		2	4	1	
Main Group	P38	AI_Practice	AI_Practice, 8	AI_Final_Stage_practice (8, m4inc.bmp)		 	Released	(based on code value)	E	564		2	4	1	
Main Group	P38	AI_Practice	AI_Practice, 8	AI_Blue_practice (8, m5inc.bmp)		b	Pressed	(based on code value)	E	868		2	4	1	
Main Group	P38	AI_Practice	AI_Practice, 9	AI_First_Stage_practice (9, i2base.bmp)				(based on code value)	NR	0		1	0	1	
Main Group	P38	AI_Practice	AI_Practice, 9	AI_Second_Stage_practice (9, i3base.bmp)				(based on code value)	NR	0		1	0	1	
Main Group	P38	AI_Practice	AI_Practice, 9	AI_Final_Stage_practice (9, i4base.bmp)	index	v	Released	(based on code value)	C	444		1	0	1	
Main Group	P38	AI_Practice	AI_Practice, 9	AI_Blue_practice (9, i5base.bmp)		v	Pressed	(based on code value)	E	699		1	0	1	
Main Group	P38	AI_Practice	AI_Practice, 2	AI_First_Stage_practice (2, m2basecon.bmp)				(based on code value)	NR	0		2	1	1	
Main Group	P38	AI_Practice	AI_Practice, 2	AI_Second_Stage_practice (2, m3basecon.bmp)				(based on code value)	NR	0		2	1	1	
Main Group	P38	AI_Practice	AI_Practice, 2	AI_Final_Stage_practice (2, m4basecon.bmp)	middle	b	Released	(based on code value)	C	443		2	1	1	
Main Group	P38	AI_Practice	AI_Practice, 2	AI_Blue_practice (2, m5basecon.bmp)		b	Pressed	(based on code value)	E	619		2	1	1	
Main Group	P38	AI_Practice	AI_Practice, 10	AI_First_Stage_practice (10, m2base.bmp)				(based on code value)	NR	0		2	0	1	
Main Group	P38	AI_Practice	AI_Practice, 10	AI_Second_Stage_practice (10, m3base.bmp)				(based on code value)	NR	0		2	0	1	
Main Group	P38	AI_Practice	AI_Practice, 10	AI_Final_Stage_practice (10, m4base.bmp)	middle	b	Released	(based on code value)	C	366		2	0	1	
Main Group	P38	AI_Practice	AI_Practice, 10	AI_Final_Stage_practice (10, m4base.bmp)		b	Pressed	(based on code value)	E	567		2	0	1	
Main Group	P38	AI_Practice	AI_Practice, 10	AI_Blue_practice (10, m5base.bmp)				(based on code value)	NR	0		2	0	1	
